model,"[(-80, -60), (-20, 0)]","[(-60, -40), (-20, 0)]","[(-40, -20), (-20, 0)]"
Baichuan2-13B-Base,0.9999999999999938,0.9999999805627375,0.996211636745167
Baichuan2-13B-Chat,0.9999999999900121,0.9998774626214776,0.9999577543149297
Baichuan2-7B-Chat,0.8641979504795146,0.3072228788744821,0.9988103017408978
Colossal-LLaMA-2-7b-base,0.9826982028116747,0.4328058888967595,0.9933157420551305
HF_RWKV_v5-Eagle-7B,0.7073669812408283,0.13418774843600423,0.9406161082602016
Llama-2-13b-hf,0.9999999999980995,0.9999999998471395,0.9458189196441525
Llama-2-7b-hf,0.7591177000463484,0.9540774644641129,0.9995950474321792
Mixtral-8x22B-Instruct-v0.1,0.999999999999998,0.9999999999999997,0.9984016442512056
Phi-3-mini-4k-instruct,0.997401109426404,0.9999939741068381,0.9458822922521493
Qwen-14B-Chat,0.9999991742778441,0.9956725911653451,0.9980610922970183
Qwen-1_8B,0.9971809598757185,0.9153337324115571,0.9391351091405125
Qwen-7B,0.5564153218828767,0.45072366770975303,0.46304497009882706
Qwen1.5-110b-chat,0.9999999999999848,0.9999999902882301,0.9653855254627121
Skywork-13B-base,0.9366061199371799,0.40337633143120577,0.25548769532353
Yi-6B,0.42140299508332113,0.9488248376995335,0.7274316485399273
Yi-6B-Chat,0.9683189795147951,0.9799065556205506,0.9737191154940544
baichuan-7b-chat,0.9999269540194681,0.9559390808610289,0.8380835020972465
chatglm3-6b,0.9999886717449586,0.9418033237596528,0.8888096247803796
command-r-plus,1.0,0.9999999919550183,0.9925088571195135
falcon-rw-1b,0.2053828847383139,0.24636451489173794,0.8683584162876647
gpt4_0613,0.9999999999984347,1.0,0.9999999999999948
gpt4_1106,0.9999999859039982,0.9999999999982382,0.9999999441141516
gpt_3.5_turbo_0613,0.9999999999335067,0.9996500377966205,0.9060107689499601
internlm-chat-7b,0.883872799776175,0.43262479669151577,0.9971867273385959
llama2-7b-chat-hf,0.9999881616601798,0.9997512891892621,0.7999344359783002
llama_hf_7b,0.9981357046927093,0.9999999053079134,0.3580975390247899
mistral-7b-v0.1,0.9999072860300623,0.9978822833127512,0.017083604830294474
opt-13b,0.9977515727157246,0.9999999946509406,0.49224564774277324
opt-2.7b,0.8393802020411096,0.03609957169003242,0.7010748170154296
phi-1_5,0.9999997572950338,0.9969540102767682,0.9577062339205553
phi-2,0.9821858267755719,0.7388883887444493,0.9936094091402283
pythia-12b,0.999999706933201,0.9990067007141914,0.0060872057792582535
zephyr-7b-beta,0.9997299139507597,0.9997287547861149,0.9605324057784245
zhongjing-base,0.9997251349159322,0.8744745505410263,0.9061479661523408
